series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
ecommerce_gmv.tiktok_shop,0000,Indonesia (national),2026-05-01,M,monthly,25.83,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-07-01,M,monthly,38.28,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-08-01,M,monthly,38.94,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-09-01,M,monthly,38.94,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-10-01,M,monthly,38.17,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-11-01,M,monthly,36.55,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2024-12-01,M,monthly,40.95,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-01-01,M,monthly,35.16,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-02-01,M,monthly,64.11,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-03-01,M,monthly,46.94,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-04-01,M,monthly,29.8,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-05-01,M,monthly,28.7,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-06-01,M,monthly,23.12,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-07-01,M,monthly,19.74,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-08-01,M,monthly,20.4,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-09-01,M,monthly,21.03,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-10-01,M,monthly,22.28,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-11-01,M,monthly,18.5,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2025-12-01,M,monthly,17.58,USD million
ecommerce_gmv.tokopedia,0000,Indonesia (national),2026-01-01,M,monthly,10.42,USD million
