series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-08-01,M,monthly,95.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-09-01,M,monthly,92.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-10-01,M,monthly,101.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-11-01,M,monthly,103.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2016-12-01,M,monthly,102.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-01-01,M,monthly,105.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-02-01,M,monthly,106.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-03-01,M,monthly,110.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-04-01,M,monthly,113.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-05-01,M,monthly,116.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-06-01,M,monthly,117.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-07-01,M,monthly,114.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-08-01,M,monthly,110.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-09-01,M,monthly,112.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-10-01,M,monthly,110.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-11-01,M,monthly,112.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2017-12-01,M,monthly,123.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-01-01,M,monthly,119.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2018-02-01,M,monthly,115.5,index
